rank,name,seed_label,forcing_family,symmetry_fold,tau_imag,delta,s1,s2,epsilon,epsilon_bonnet,alpha_0,alpha_1,alpha_2,residual_norm,ratio,verified_ratio,validation_score,b_scalar,c_scalar,closure_rotation_angle,closure_k_fold,closure_k_theta_2pi,closure_rationality_error,closure_axial_proj,f_plus_closure_max,f_plus_closure_mean,f_minus_closure_max,f_minus_closure_mean,euler_plus_ok,euler_minus_ok,iso_E_max_rel,iso_interior_F_scaled,iso_interior_G_rel,iso_interior_metric_mean,H_plus_mean,H_minus_mean,H_interior_max_diff,H_interior_mean_diff,procrustes_disparity,direct_mean_distance,direct_max_distance,scale_ratio,is_non_congruent,n_vertices,n_triangles,time_seconds
1,rank001_fold4_paper_4fold_bwd_6__anti_h9_p033_eps3e-04,paper_4fold_bwd_6,anti_reflection,4,0.30630578925,1.6681155066416105,-3.13060628,0.9762101266467138,0.00025,0.3,-0.00760896594259361,-0.07210979614331835,0.08983342623045984,3.9141861534642303e-11,1.0000000000056979,0.9999960453894295,5.1020172694036734e-11,-3.8121988205075397e-11,-6.028164079019405e-17,1.5707901149071386,4,0.9999960453894295,3.954610570455763e-06,8.348092012311348e-05,5.622583256330754,2.7906577241417008,5.585493447289829,2.783095486189211,True,True,2.2323656185308423e-14,1.511990797485113,1.7703878261827706,1.2624143942230437,0.7099903348064887,0.7035196719314933,3.6348646110042737,0.2900094491454771,0.510030024574155,2.073685123756404,8.036761609883914,1.0003483708796463,True,6400,12800,293.9
2,rank002_fold4_paper_4fold_bwd_13__smooth_h4_p019_eps5e-04,paper_4fold_bwd_13,smooth_low_freq,4,0.28530578925,1.8045340387172801,-3.13060628,1.4336270031015448,0.0005,0.3,0.006725233856182109,-0.035609705998621705,0.09767060691582054,1.0768551627620392e-11,1.000000000000945,0.9999563642346556,5.597376694363753e-11,1.060359786086984e-11,5.759281940243e-16,1.5707277838949767,4,0.9999563642346556,4.363576534438529e-05,8.42264370566892e-05,4.897791606978534,2.2037958856865707,4.89358830206966,2.20257546021911,True,True,1.7690880228791007e-14,1.780418080676099,2.529785840621815,1.2882141183855533,0.876442071392837,0.8666409269783014,7.873856300624505,0.4800449239096283,0.5408239162744439,1.773238875872716,6.4995870882928495,1.000393548338634,True,6400,12800,550.86
3,rank003_fold4_paper_4fold_bwd_5__smooth_h4_p019_eps5e-04,paper_4fold_bwd_5,smooth_low_freq,4,0.30930578925,1.6521370711936876,-3.13060628,0.9002801614220941,0.0005,0.3,-0.00272571007968805,-0.052871543677862405,0.07040095468950107,1.2563830840302124e-10,0.9999999999566994,0.9999872431959058,6.220342601192107e-11,-1.0569023087270146e-10,-1.7611780089854534e-15,1.5707762884538838,4,0.9999872431959058,1.2756804094182783e-05,0.00021897663044101456,5.664484405028884,2.956015739689115,5.640682098638219,2.9505073967320667,True,True,1.8689048661183738e-14,1.4845534913167395,2.0064290747404443,1.3418942362129473,0.6943444897298343,0.6896387053221444,3.1952449759353376,0.2683488551718809,0.4741434255034615,2.1367969496057393,8.503804052647128,1.0002456762111103,True,6400,12800,326.17
4,rank004_fold3_paper_3fold__smooth_h4_p019_eps5e-04,paper_3fold,smooth_low_freq,3,0.3205128205,1.897366596,-3.601381552,0.5965202011,0.0005,0.3,0.020156211660215514,-0.0634556759879023,0.22152316877443917,4.846585194214697e-11,0.9999999999846714,0.9999985373695669,8.558060188339295e-11,1.746049832496155e-11,-2.498001805406602e-16,2.0943920390671797,3,0.9999985373695669,1.462630433102241e-06,0.0008480359386914531,11.146717850711925,5.019617704642175,11.212125963428855,5.026967337033625,True,True,6.291521999101785e-14,1.3150787617154696,1.274924006932008,1.3897667066534298,0.5575664705079142,0.5493551226345504,2.062306575117014,0.14340448881933018,0.3893747540810044,2.5862153955388045,12.773873702520797,1.000502134878064,True,6400,12800,319.48
5,rank005_fold3_paper_3fold_bwd_18__sym_h12_p013_eps3e-04,paper_3fold_bwd_18,symmetry_aware,3,0.27051282050000003,2.346598203968648,-3.601381552,1.3958837361792573,0.00025,0.3,-0.008229138637218731,-0.026253031366566357,0.003931890202569868,1.094330379538149e-09,1.0000000000724885,0.9998580191443577,9.960166257165815e-11,-1.0464495901751913e-09,2.7731302670863656e-10,2.0940977383845047,3,0.9998580191443577,0.00014198085564232077,0.00035321645974095706,8.821473370913592,2.718084608077132,8.804287439332873,2.7140711402423134,True,True,2.727088242499341e-14,2.0812339878614003,3.3828365868168384,1.500531584147001,0.9565934820988019,0.9590879325314823,178.89055855033786,0.9504173420385146,0.49833191533865545,1.6589476589229957,8.90079885910473,0.9999838914215602,True,6400,12800,768.69
6,rank006_fold3_paper_3fold_bwd_5__hh_h14_p011_eps8e-04,paper_3fold_bwd_5,high_harmonic,3,0.30930578925,1.960799973888406,-3.601381552,0.8422066204288944,0.00075,0.3,0.017023718920412025,-0.04904786303146631,0.1669405111031378,5.743424149138533e-10,1.000000000011542,0.9999689109387178,1.392720571924473e-10,-5.740677308518904e-10,1.605486577016535e-14,2.094329989615508,3,0.9999689109387178,3.1089061282241204e-05,0.0004434050551464508,8.171994696228298,3.769780079702822,8.19736226178873,3.771432474276864,True,True,3.655571287788986e-14,1.7468476310025447,2.4907740573529096,1.487826694958759,0.655335561571694,0.6450924359916153,4.549489480250137,0.28253907469403455,0.47287263073105523,2.2169028372722908,9.509002210183699,1.0004540855256312,True,6400,12800,353.22
7,rank007_fold4_paper_4fold_bwd_9__smooth_h4_p019_eps5e-04,paper_4fold_bwd_9,smooth_low_freq,4,0.29730578925,1.7220258463707672,-3.13060628,1.1851387799842026,0.0005,0.3,-0.035320422516311845,-0.08021149211882726,-0.031379942309763716,2.693413043855085e-10,0.9999999999614879,0.9999938742684843,1.740573541944719e-10,-2.6226639610049673e-10,4.274358644806853e-15,1.5707867045183328,4,0.9999938742684843,6.125731515704835e-06,6.432989504900899e-05,5.160338843343701,2.4579124946936526,5.0985416124077965,2.4464452441912927,True,True,1.6022413332137737e-14,1.70146951797949,2.3878371009824346,1.3045348281299411,0.7780146960985914,0.7796069813603184,6.210968019338434,0.3998931197747641,0.5352011758673905,1.921573464755103,7.107528920444568,0.9999810325457473,True,6400,12800,397.6
8,rank008_fold3_paper_3fold_bwd_11__smooth_h4_p019_eps3e-04,paper_3fold_bwd_11,smooth_low_freq,3,0.29130578925,2.103419418787167,-3.601381552,1.148483246646976,0.00025,0.3,-0.005400844533893689,-0.04237809207069969,0.04079703890178908,3.910657648395896e-11,1.0000000000020437,0.9999227510168415,1.7992029193585033e-10,3.8696903320589726e-11,2.1163626406917047e-16,2.094233312501203,3,0.9999227510168415,7.72489831585288e-05,0.00035301652831942754,7.5680428092303655,3.0104383661805834,7.536015364781073,3.0049655608797066,True,True,2.286767543945958e-14,1.9787611681760968,3.2256401282636524,1.4445429249151203,0.8202422857716886,0.8129278519443727,63.99114879376806,0.5869306137938752,0.5182587917068483,1.8816266614321977,8.143990836504603,1.0000951686062425,True,6400,12800,228.43
9,rank009_fold4_paper_4fold_bwd_10__phase_h7_p041_eps1e-03,paper_4fold_bwd_10,phase_shifted,4,0.29430578925,1.7415740376906228,-3.13060628,1.2499659204910494,0.001,0.3,-0.03775798922981094,-0.08051088330634672,-0.03968547056588231,6.816083884844598e-06,1.000004197995958,0.9999972983664351,1.9789101127807266e-10,-1.6800706201247628e-06,3.910777896108837e-07,1.5707920830788165,4,0.9999972983664351,2.7016335648610834e-06,5.742352417226204e-05,4.996223460199805,2.38215247645535,4.937784136894413,2.370811255877618,True,True,1.5284644440532363e-14,1.7618985733750407,2.8673651195120486,1.285390635133413,0.8070459166998318,0.8094470187718369,7.735700411510633,0.4453895546065856,0.5287660691629108,1.8797333357608499,6.891759328974637,0.9999510982299273,True,6400,12800,413.57
10,rank010_fold4_paper_4fold_bwd_15__smooth_h4_p019_eps5e-04,paper_4fold_bwd_15,smooth_low_freq,4,0.27930578925,1.8503682418819172,-3.13060628,1.5485459929999899,0.0005,0.3,-0.010057233674293724,-0.07262565501416257,0.1263994474265209,1.5943826224418962e-09,1.0000000006649052,0.9999878716482846,2.035407164764759e-10,-1.203685002365562e-09,-4.370360540476015e-11,1.570777275624572,4,0.9999878716482846,1.2128351715379182e-05,-5.374177450706563e-05,4.817205846419736,2.1298982781807028,4.795366430615184,2.1247590709451267,True,True,2.852040292325726e-14,1.8290141187640296,3.4741940679610095,1.2421707060782605,0.9315200097215289,0.9132570731673951,13.168620843069837,0.5698683274322158,0.5164715858672438,1.7113431979194933,6.62272479696611,1.0005517580401455,True,6400,12800,510.7
